"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Nov 10 03:57:42 MSK 2025","Mon Nov 10 03:57:48 MSK 2025","5768","","pageobject.LoginTest","","pageobject.LoginTest","loginViaRegistrationForm","Вход через форму регистрации",""
"passed","Mon Nov 10 03:57:48 MSK 2025","Mon Nov 10 03:57:53 MSK 2025","5752","","pageobject.LoginTest","","pageobject.LoginTest","loginViaPasswordRecoveryForm","Вход через форму восстановления пароля",""
"passed","Mon Nov 10 03:58:00 MSK 2025","Mon Nov 10 03:58:06 MSK 2025","5781","","pageobject.NavigationFromPersonalCabinetTest","","pageobject.NavigationFromPersonalCabinetTest","navigateToMainPageViaLogoFromPersonalCabinet","Переход из личного кабинета в главную страницу через логотип",""
"passed","Mon Nov 10 03:57:20 MSK 2025","Mon Nov 10 03:57:24 MSK 2025","4299","","pageobject.ConstructorSectionsTest","","pageobject.ConstructorSectionsTest","testNavigateToSaucesSection","Проверка навигации к секции соусов",""
"passed","Mon Nov 10 03:57:53 MSK 2025","Mon Nov 10 03:58:00 MSK 2025","6520","","pageobject.LogoutTest","","pageobject.LogoutTest","logoutViaPersonalCabinet","Выход из аккаунта через личный кабинет",""
"passed","Mon Nov 10 03:57:14 MSK 2025","Mon Nov 10 03:57:19 MSK 2025","5854","","pageobject.ConstructorSectionsTest","","pageobject.ConstructorSectionsTest","testNavigateToFillingsSection","Проверка навигации к секции начинок",""
"passed","Mon Nov 10 03:57:36 MSK 2025","Mon Nov 10 03:57:42 MSK 2025","5768","","pageobject.LoginTest","","pageobject.LoginTest","loginViaMainPageButton","Вход через главную страницу",""
"passed","Mon Nov 10 03:57:28 MSK 2025","Mon Nov 10 03:57:36 MSK 2025","7892","","pageobject.LoginTest","","pageobject.LoginTest","loginViaPersonalCabinetButton","Вход через личный кабинет",""
"passed","Mon Nov 10 03:57:24 MSK 2025","Mon Nov 10 03:57:28 MSK 2025","4292","","pageobject.ConstructorSectionsTest","","pageobject.ConstructorSectionsTest","testNavigateToBunsSection","Проверка навигации к секции булок",""
"passed","Mon Nov 10 03:58:22 MSK 2025","Mon Nov 10 03:58:27 MSK 2025","4788","","pageobject.RegistrationTest","","pageobject.RegistrationTest","registerWithShortPasswordShowsError","Регистрация с коротким паролем",""
"passed","Mon Nov 10 03:58:17 MSK 2025","Mon Nov 10 03:58:22 MSK 2025","5074","","pageobject.RegistrationTest","","pageobject.RegistrationTest","registerUser","Регистрация пользователя",""
"passed","Mon Nov 10 03:58:06 MSK 2025","Mon Nov 10 03:58:12 MSK 2025","6049","","pageobject.NavigationFromPersonalCabinetTest","","pageobject.NavigationFromPersonalCabinetTest","navigateToConstructorFromPersonalCabinet","Переход из личного кабинета в конструктор",""
"passed","Mon Nov 10 03:58:12 MSK 2025","Mon Nov 10 03:58:17 MSK 2025","5202","","pageobject.PersonalCabinetTest","","pageobject.PersonalCabinetTest","navigateToProfileViaPersonalCabinet","Переход в профиль через личный кабинет",""
